fund_name,north_america,europe,asia,latin_america,africa,oceania,developed,emerging,globally,other,total_percent,notes
Abu Dhabi Investment Authority (ADIA) 2023,52.5,22.5,7.5,,,,,15.0,,,97.5,"Geographic allocation is based on the midpoint of long-term strategy portfolio ranges, which do not total 100%. Asia allocation represents Developed Asia. As a matter of practice, ADIA does not invest in the UAE."
Alaska Permanent Fund 2023/2024,76.0,11.0,6.0,5.0,,,,,,2.0,100.0,"Geographic allocation as of June 30, 2024. The sum of provided regional allocations is 98.6%. Africa and Oceania percentages are calculated from dollar values provided in the text ($0.1B and $0.4B respectively) against the total fund value of $80.46B."
Fondo de Ahorro de Panam치 (FAP) 2024,88.0,5.0,1.0,3.0,,3.0,,,,,100.0,Geographic distribution of investments. The fund focuses on developed economies to maximize liquidity.
Fondo de Estabilizaci칩n Econ칩mica y Social (FEES) 2023,71.7,19.1,9.1,,,,,,,,99.9,"Geographic allocation as of December 31, 2023."
Fondo de Reserva de Pensiones (FRP) 2023,52.6,26.2,18.9,1.9,0.3,,,,,,99.9,"Geographic allocation for the Portafolio de Inversi칩n de Largo Plazo (PILP) as of December 31, 2023."
Future Fund 2023/2024,43.0,15.0,6.0,,,21.0,,10.0,,4.0,99.0,Based on physical investments by geography as at 30 June 2024. Europe includes Europe (ex-UK) at 11% and United Kingdom at 4%. Other includes Developed (other). Total does not sum to 100% due to rounding as stated in the report.
GIC Private Limited (GIC) 2023/2024,39.0,15.0,26.0,4.0,,,,,11.0,5.0,100.0,"Geographic mix as at March 31, 2024. North America consists of United States (39%). Latin America (4%). Europe consists of United Kingdom (5%) and Eurozone (10%). Asia consists of Japan (4%) and Asia ex Japan (22%). Other consists of Middle East, Africa, and the rest of Europe (5%)."
Government Pension Fund Global (GPFG) 2024,,,,,,,89.2,10.8,,,100.0,Geographic allocation of the equity portfolio at year-end 2024.
Government Pension Fund Global (GPFG) 2024,50.0,42.9,,,,,,,,7.2,100.1,"Geographic allocation of the unlisted real estate portfolio at year-end 2024. North America consists of the US (50.0%). Europe consists of the UK (20.1%), France (14.8%), Germany (5.0%), and Switzerland (3.0%)."
New Zealand Superannuation Fund (NZ Super Fund) 2023/2024,54.1,19.6,7.9,,,14.4,,,,4.0,100.0,Geographic allocation of the Actual Portfolio as at 30 June 2024. Asia includes Japan (4.2%) and Asia excl. Japan (3.7%). Oceania includes New Zealand (10.6%) and Australia (3.8%).
Temasek Holdings (Private) Limited (Temasek) 2023/2024,,,65.0,,,,,,,35.0,100.0,"Geographic allocation is based on underlying assets as at March 31, 2024. 'Asia' (65%) comprises Singapore (27%), China (19%), India (7%), and Asia Pacific (ex Singapore, China & India) (12%). 'Other' (35%) comprises Americas (22%) and Europe, Middle East & Africa (13%)."
Temasek Holdings (Private) Limited 2024/2025,,,64.0,,,,,,,36.0,100.0,"Geographic allocation is based on underlying assets. 'Asia' includes Singapore (27%), China (18%), India (8%), and Asia Pacific (ex Singapore, China & India) (11%). 'Other' includes Americas (24%) and Europe, Middle East & Africa (12%)."
